name,author,narrator,time,releasedate,language,stars,price
The Bushes,"Writtenby:PeterSchweizer,RochelleSchweizer","Narratedby:RobertsonDean,RochelleSchweizer",23 hrs and 20 mins,21-04-04,English,Not rated yet,"1,633.00"
A Curious Man,Writtenby:NealThompson,Narratedby:MarcCashman,11 hrs and 56 mins,07-05-13,English,Not rated yet,"1,256.00"
The Long and Winding Road,Writtenby:AlanJohnson,Narratedby:AlanJonson,9 hrs and 57 mins,13-10-16,English,Not rated yet,683.00
The Vanderbilts,Writtenby:JerryE.Patterson,Narratedby:RayChilds,6 hrs and 25 mins,21-02-12,English,Not rated yet,668.00
A Life of Johnson,Writtenby:JamesBoswell,Narratedby:BillyHartman,2 hrs and 35 mins,26-10-00,English,Not rated yet,333.00
The Man Who Saved the Union,Writtenby:H.W.Brands,Narratedby:StephenHoye,27 hrs and 51 mins,02-10-12,English,Not rated yet,"1,256.00"
This Boy,Writtenby:AlanJohnson,Narratedby:AlanJohnson,7 hrs and 52 mins,09-05-13,English,Not rated yet,683.00
Samuel Pepys,Writtenby:ClaireTomalin,Narratedby:JillBalcon,6 hrs and 22 mins,14-02-05,English,Not rated yet,683.00
Nine Irish Lives,Writtenby:MarkBailey,"Narratedby:AlanaKerrCollins,AlanSmyth",8 hrs and 6 mins,06-03-18,English,Not rated yet,836.00
1924,Writtenby:PeterRossRange,Narratedby:PaulHodgson,9 hrs,26-01-16,English,Not rated yet,500.00
Tudor,Writtenby:LeandadeLisle,Narratedby:HillaryHuber,16 hrs and 20 mins,30-03-16,English,Not rated yet,"1,003.00"
Eleanor and Hick,Writtenby:SusanQuinn,Narratedby:KimberlyFarr,13 hrs and 45 mins,27-09-16,English,Not rated yet,"1,131.00"
The Works of Julius Caesar: The Gallic Wars,"Writtenby:JuliusCaesar,W.A.McDevitte-translator,W.S.Bohn-translator",Narratedby:JackChekijian,8 hrs and 20 mins,06-05-16,English,Not rated yet,836.00
The Life and Times of Frederick Douglass,Writtenby:FrederickDouglass,Narratedby:RichardAllen,21 hrs and 34 mins,07-02-12,English,Not rated yet,"1,338.00"
And There Was Light,Writtenby:JacquesLusseyran,Narratedby:AndreGregory,4 hrs and 29 mins,21-03-14,English,Not rated yet,501.00
Aristotle,Writtenby:A.E.Taylor,Narratedby:FrederickDavidson,4 hrs and 5 mins,20-10-00,English,Not rated yet,468.00
American Lion,Writtenby:JonMeacham,Narratedby:RichardMcGonagle,17 hrs and 16 mins,11-11-08,English,Not rated yet,"1,256.00"
"Please, Mister Postman",Writtenby:AlanJohnson,Narratedby:AlanJohnson,9 hrs and 22 mins,09-10-14,English,Not rated yet,683.00
Book of Ages,Writtenby:JillLepore,Narratedby:RobinMiles,11 hrs and 36 mins,01-11-13,English,Not rated yet,938.00
